Link,Name,Personal Links,Expertise,History 1 Title,History 1 Location,History 1 Start,History 1 End,History 2 Title,History 2 Location,History 2 Start,History 2 End,History 3 Title,History 3 Location,History 3 Start,History 3 End,History 4 Title,History 4 Location,History 4 Start,History 4 End,History 5 Title,History 5 Location,History 5 Start,History 5 End,History 6 Title,History 6 Location,History 6 Start,History 6 End,History 7 Title,History 7 Location,History 7 Start,History 7 End,History 8 Title,History 8 Location,History 8 Start,History 8 End,History 9 Title,History 9 Location,History 9 Start,History 9 End
https://openreview.net/profile?id=~Caswell_Barry1,Caswell Barry,DBLP (https://dblp.org/pid/220/3769),,Principal Researcher,University College London (ucl.ac.uk),2007,Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Catherine_Arnett1,Catherine Arnett,Homepage (https://catherinearnett.github.io/); Google Scholar (https://scholar.google.com/citations?user=gIDJdFAAAAAJ&hl=en&oi=ao); DBLP (https://dblp.org/pid/358/8873); Semantic Scholar (https://www.semanticscholar.org/author/Catherine-Arnett/2257347764); ORCID (https://orcid.org/0000-0003-0448-5415); LinkedIn (https://www.linkedin.com/in/catherine-arnett96/); ACL Anthology (https://aclanthology.org/people/c/catherine-arnett/),tokenizers; large language models; multilingual NLP,Researcher,EleutherAI (eleuther.ai) [US],2025,Present,Researcher,PleIAs (pleias.fr) [FR],2024,2025,PhD student,"University of California, San Diego (ucsd.edu) [US]",2019,2025,Undergrad student,"University of Edinburgh, University of Edinburgh (ed.ac.uk) [GB]",2014,2018,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Chao_Li28,Chao Li,ORCID (https://orcid.org/0000-0002-9371-498X),,MS student,Chinese academic of science (ia.ac.an),2021,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Qi_Wang11,Qi Wang,Homepage (https://sites.google.com/view/albert-q-wang-at-ai-community/home); Google Scholar (https://scholar.google.com/citations?hl=en&user=RjY2veMAAAAJ&view_op=list_works&sortby=pubdate); DBLP (https://dblp.org/pid/375/3186); Semantic Scholar (https://www.semanticscholar.org/author/Qi-Cheems-Wang/50621207); ORCID (https://orcid.org/0009-0003-7758-725X); LinkedIn (https://www.linkedin.com/in/qi-cheems-wang-518a421a1/),Large Models; Multi-Task Learning; Reinforcement Learning; Meta Learning; Bayesian Deep Learning; Generative Modelling,Researcher,Tsinghua University (cs.tsinghua.edu.cn) [CN],2024,Present,Intern,National University of Defense Technology (nudt.edu.cn) [CN],2025,2026,PhD student,University of Amsterdam (uva.nl) [NL],2018,2022,Undergrad student,Sichuan University (scu.edu.cn) [CN],2011,2015,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Chen_Tessler1,Chen Tessler,Homepage (https://chentessler.wixsite.com/Tessler); Google Scholar (https://scholar.google.co.il/citations?user=7eLKa3IAAAAJ&hl=en); DBLP (https://dblp.org/pid/179/2389); LinkedIn (https://www.linkedin.com/in/chentessler/),deep learning; reinforcement learning,Researcher,NVIDIA (nvidia.com) [IL],2022,Present,PhD student,"Technion, Technion (technion.ac.il)",2019,2022,MS student,Technion (technion.ac.il),2018,2019,Undergrad student,Technion (technion.ac.il),2014,2017,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Chuan_Yu1,Chuan Yu,Homepage (https://scholar.google.com/citations?hl=zh-CN&user=FmEh2q80rjEC); Google Scholar (https://scholar.google.com/citations?hl=zh-CN&user=FmEh2q80rjEC); ORCID (https://orcid.org/0000-0001-8094-1545),,Researcher,Alibaba Group (alibaba-inc.com) [CN],2015,2026,MS student,"Tsinghua University, Tsinghua University (tsinghua.edu.cn) [CN]",2012,2015,Undergrad student,"Tsinghua University, Tsinghua University (tsinghua.edu.cn) [CN]",2008,2012,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~David_Mach1,David Mach,LinkedIn (https://www.linkedin.com/in/machdavid),,MS student,Institut d'Etudes Politiques de Paris (Sciences Po) (sciencespo.fr) [FR],2022,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Debangshu_Banerjee1,Debangshu Banerjee,Google Scholar (https://scholar.google.com/citations?user=FXkrG54AAAAJ&hl=en); DBLP (https://dblp.org/pid/268/6756-2); ORCID (https://orcid.org/0009-0004-0959-9205),,PhD student,Indian Institute of Science (iisc.ac.in) [IN],2019,2026,Intern,Google (google.com) [IN],2024,2025,Intern,International Business Machines (ibm.com) [IN],2023,2023,MS student,"Indian Institute of Science, Indian institute of science, Bangalore (iisc.ac.in) [IN]",2016,2018,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Derek_F._Wong1,Derek F. Wong,Homepage (https://www.fst.um.edu.mo/personal/derek-wong/); Google Scholar (https://scholar.google.com/citations?user=KjQBe8oAAAAJ&hl=en); DBLP (https://dblp.org/pid/123/0533); Semantic Scholar (https://www.semanticscholar.org/author/Derek-F.-Wong/1758353); ORCID (https://orcid.org/0000-0002-5307-7322); LinkedIn (https://www.linkedin.com/in/derek-wong-6209445/); ACL Anthology (https://aclanthology.org/people/d/derek-f-wong/),Machine Translation; Natural Language Processing,Full Professor,University of Macau (um.edu.mo) [MO],2025,Present,Associate Professor,University of Macau (um.edu.mo) [MO],2017,2025,Assistant Professor,University of Macau (um.edu.mo) [MO],2008,2017,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Donghu_Kim1,Donghu Kim,Homepage (https://i-am-proto.github.io); Google Scholar (https://scholar.google.com/citations?user=LcYjQYcAAAAJ&hl=en); DBLP (https://dblp.org/pid/379/3468); LinkedIn (https://www.linkedin.com/in/donghu-kim-3b57972b6/),Reinforcement Learning,MS student,Korea Advanced Institute of Science & Technology (kaist.ac.kr) [KR],2024,Present,Undergrad student,Korea University (korea.ac.kr) [KR],2018,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Egor_KONSTANTINOVICH_VEDERNIKOV1,Egor KONSTANTINOVICH VEDERNIKOV,Homepage (https://github.com/EgoVed); LinkedIn (https://www.linkedin.com/in/egorvedernikov/),nlp; llm; deep learning,Independent Researcher,Idependent (independent.com) [RU],2023,Present,Researcher,Baltic State Technical University (voenmeh.ru) [RU],2020,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Eliot_Jones2,Eliot Krzysztof Jones,Homepage (https://www.eliotkjones.me); ORCID (https://orcid.org/0000-0001-6649-1728); LinkedIn (https://www.linkedin.com/in/eliot-krzysztof-jones/),,Researcher,Gray Swan (grayswan.ai) [US],2024,Present,MS student,Stanford University (stanford.edu) [US],2023,2024,Undergrad student,Stanford University (stanford.edu) [US],2020,2023,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Eric_Wang8,Hao Wang,Homepage (https://xpbooster.github.io/); Google Scholar (https://scholar.google.com/citations?user=2ZMnbaoAAAAJ&hl=en); DBLP (https://dblp.org/pid/305/6652.html); Semantic Scholar (https://www.semanticscholar.org/author/Hao-Wang/2144221741); ORCID (https://orcid.org/0000-0002-3243-487X),Time series; Time-series forecast; Causal Inference; Recommender System; Optimal Transport; time series,Researcher,Xiaohongshu (xiaohongshu.com) [CN],2025,2026,PhD student,Zhejiang University (zju.edu.cn),2021,2025,Intern,Microsoft (microsoft.com),2022,2023,Intern,Huawei Technologies Ltd. (huawei.com) [CN],2022,2022,Intern,Alibaba Group (alibaba-inc.com),2021,2022,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Evgeniy_V._Nam1,Evgeniy V. Nam,Google Scholar (https://scholar.google.com/citations?hl=ru&user=0XMrdJsAAAAJ); ORCID (https://orcid.org/0009-0006-0939-4001),Machine learning; Deep learning; Chemistry,MS student,ITMO University (itmo.ru) [RU],2023,2025,Undergrad student,Mendeleev Russian University of Chemical Technology (muctr.edu.ru) [RU],2019,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
